2026-06-24 16:12:03Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:12:03Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:12:03Z hc3 (D2R_3): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:12:09Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:12:09Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:12:09Z hc3 (D2R_3): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:12:15Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:12:15Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:12:15Z hc3 (D2R_3): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:12:21Z hc1 (D2R_1): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:12:21Z hc2 (D2R_2): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:12:21Z hc3 (D2R_3): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:12:27Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:12:27Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:12:27Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:12:34Z hc1 (D2R_1): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:12:34Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:12:34Z hc3 (D2R_3): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:12:40Z hc1 (D2R_1): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:12:40Z hc2 (D2R_2): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:12:40Z hc3 (D2R_3): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:12:46Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:12:46Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:12:46Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:12:53Z hc1 (D2R_1): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:12:53Z hc2 (D2R_2): frame DiabloSplash (1s ago) [degraded] | last no input yet
2026-06-24 16:12:53Z hc3 (D2R_3): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:12:59Z hc1 (D2R_1): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:12:59Z hc2 (D2R_2): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:12:59Z hc3 (D2R_3): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:13:05Z hc1 (D2R_1): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:13:05Z hc2 (D2R_2): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:13:05Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:13:11Z hc1 (D2R_1): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:13:11Z hc2 (D2R_2): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:13:11Z hc3 (D2R_3): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:13:18Z hc1 (D2R_1): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:13:18Z hc2 (D2R_2): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:13:18Z hc3 (D2R_3): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:13:24Z hc1 (D2R_1): frame DiabloSplash (4s ago) [degraded] | last no input yet
2026-06-24 16:13:24Z hc2 (D2R_2): frame DiabloSplash (3s ago) [degraded] | last no input yet
2026-06-24 16:13:24Z hc3 (D2R_3): frame DiabloSplash (2s ago) [degraded] | last no input yet
2026-06-24 16:13:26Z hc1 (D2R_1): frame DiabloSplash (6s ago) [degraded] | last no input yet
2026-06-24 16:13:26Z hc2 (D2R_2): frame DiabloSplash (5s ago) [degraded] | last no input yet
2026-06-24 16:13:26Z hc3 (D2R_3): frame DiabloSplash (4s ago) [degraded] | last no input yet
